Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.177-192.30.253.125-54430-443-6,192.168.1.177,54430,192.30.253.125,443,6,08/05/2019 04:13:05,76,2,0,30.0,0.0,30.0,0.0,15.0,21.213203435596427,0,0,0,0,394736.84210526315,26315.78947368421,76.0,0.0,76.0,76.0,76.0,76.0,0.0,76.0,76.0,0,0,0,0,0,1,0,0,0,64,0,26315.78947368421,0.0,0.0,30.0,20.0,17.320508075688775,300.0,0,1,0,0,1,0,0,0,0.0,30.0,15.0,0.0,0,0,0,0,0,0,2,30,0,0,304,-1,0,32,0,0,0,0,0,0,0,0,No Label
192.168.1.177-192.30.253.125-54430-443-6,192.30.253.125,443,192.168.1.177,54430,6,08/05/2019 04:13:05,2054,4,2,50.0,0.0,26.0,0.0,12.5,14.45683229480096,0.0,0.0,0.0,0.0,24342.745861733205,2921.1295034079844,410.8,737.5487780479335,1729.0,51.0,2054.0,684.6666666666666,964.0131396061639,1796.0,74.0,1862.0,1862.0,0.0,1862.0,1862.0,0,0,0,0,128,40,1947.4196689386565,973.7098344693283,0.0,26.0,7.142857142857143,12.212405870378577,149.14285714285714,0,0,0,0,1,0,0,0,0.0,8.333333333333334,12.5,0.0,0,0,0,0,0,0,4,50,2,0,31,0,2,32,0,0,0,0,0,0,0,0,No Label
185.199.111.154-192.168.1.177-443-39112-6,192.168.1.177,39112,185.199.111.154,443,6,08/05/2019 04:13:04,10737424,6,4,568.0,154.0,517.0,0.0,94.66666666666666,207.9035032573205,154.0,0.0,38.5,77.0,67.24145381611082,0.9313220750153853,1193047.111111111,3514248.0404526596,1.0564085E7,32.0,1.0737424E7,2147484.8,4749466.340668044,1.0643524E7,4246.0,133420.0,44473.33333333333,42740.664434860315,85293.0,41.0,0,0,0,0,200,136,0.5587932450092312,0.37252883000615417,0.0,517.0,65.63636363636364,156.9128883981636,24621.65454545455,0,0,0,1,0,0,0,0,0.0,72.2,94.66666666666667,38.5,0,0,0,0,0,0,6,568,4,154,29200,59,2,32,0,0,0,0,0,0,0,0,No Label
151.101.84.133-192.168.1.177-443-58448-6,192.168.1.177,58448,151.101.84.133,443,6,08/05/2019 04:13:04,10728284,6,4,570.0,160.0,519.0,0.0,95.0,208.71607508766544,160.0,0.0,40.0,80.0,68.04443282821371,0.9321155181947085,1192031.5555555555,3535076.5774411135,1.0618763E7,35.0,1.0728284E7,2145656.8,4769481.154262663,1.0677547E7,492.0,91913.0,30637.666666666668,33257.27908794304,66034.0,41.0,0,0,0,0,200,136,0.5592693109168251,0.37284620727788337,0.0,519.0,66.36363636363636,157.83426290084972,24911.654545454545,0,0,0,1,0,0,0,0,0.0,73.0,95.0,40.0,0,0,0,0,0,0,6,570,4,160,29200,59,2,32,0,0,0,0,0,0,0,0,No Label
151.101.84.133-192.168.1.177-443-58448-6,151.101.84.133,443,192.168.1.177,58448,6,08/05/2019 04:13:15,1391,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,22286.125089863406,2156.721782890007,695.5,891.6616510762365,1326.0,65.0,1391.0,1391.0,0.0,1391.0,1391.0,0,0,0,0,0,1,0,0,0,64,20,1437.8145219266714,718.9072609633357,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,59,0,0,32,0,0,0,0,0,0,0,0,No Label
185.199.111.154-192.168.1.177-443-39112-6,185.199.111.154,443,192.168.1.177,39112,6,08/05/2019 04:13:15,152,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,203947.3684210526,19736.842105263157,76.0,31.11269837220809,98.0,54.0,152.0,152.0,0.0,152.0,152.0,0,0,0,0,0,1,0,0,0,64,20,13157.894736842105,6578.9473684210525,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,59,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.1.177-74.125.205.94-56955-443-17,192.168.1.177,56955,74.125.205.94,443,17,08/05/2019 04:13:07,15036111,7,7,2056.0,1744.0,1350.0,23.0,293.7142857142857,482.0282544573897,1350.0,18.0,249.1428571428571,494.73542712963547,252.72492335285366,0.9310918228789345,1156623.9230769232,4149770.87810302,1.4967857E7,39.0,1.5000691E7,2500115.1666666665,6107923.5218913285,1.4967857E7,97.0,1.5023005E7,2503834.1666666665,6123562.088440597,1.50035E7,39.0,0,0,0,0,56,56,0.4655459114394673,0.4655459114394673,18.0,1350.0,343.33333333333337,531.5342572842005,282528.6666666667,0,0,0,0,0,0,0,0,1.0,367.85714285714283,293.7142857142857,249.14285714285714,0,0,0,0,0,0,7,2056,7,1744,-1,-1,6,8,32834.0,0.0,32834.0,32834.0,1.4967857E7,0.0,1.4967857E7,1.4967857E7,No Label
192.168.1.177-192.168.1.1-59732-53-17,192.168.1.177,59732,192.168.1.1,53,17,08/05/2019 04:13:05,3137,1,1,33.0,65.0,33.0,33.0,33.0,0.0,65.0,65.0,65.0,0.0,31240.038253108065,637.5518010838381,3137.0,0.0,3137.0,3137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,318.77590054191904,318.77590054191904,33.0,65.0,43.666666666666664,18.475208614068023,341.3333333333333,0,0,0,0,0,0,0,0,1.0,65.5,33.0,65.0,0,0,0,0,0,0,1,33,1,65,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
185.199.111.154-192.168.1.177-443-39118-6,192.168.1.177,39118,185.199.111.154,443,6,08/05/2019 04:13:05,46604868,12,10,1286.0,672.0,517.0,0.0,107.16666666666666,182.05435418793994,306.0,0.0,67.19999999999999,104.27826022501313,42.012778579267724,0.47205369190188456,2219279.428571428,1.0107464133303978E7,4.6331795E7,7.0,4.6566416E7,4233310.545454545,1.3992273889595602E7,4.6421574E7,13.0,4.6568491E7,5174276.777777778,1.5448504306796547E7,4.6370247E7,7.0,0,0,0,0,392,328,0.2574838319464825,0.21456985995540206,0.0,517.0,85.1304347826087,147.5152701950258,21760.75494071147,0,0,0,1,0,0,0,0,0.0,89.0,107.16666666666667,67.2,0,0,0,0,0,0,12,1286,10,672,29200,63,7,32,234621.0,0.0,234621.0,234621.0,4.6331795E7,0.0,4.6331795E7,4.6331795E7,No Label
192.168.1.177-192.30.253.112-32824-443-6,192.168.1.177,32824,192.30.253.112,443,6,08/05/2019 04:13:04,46325675,19,16,3522.0,33116.0,1424.0,0.0,185.3684210526316,452.21150539767905,9912.0,0.0,2069.75,2787.6696719661745,790.8789240523749,0.7555205617619172,1362519.8529411764,7714259.996900758,4.501934E7,3.0,4.6132466E7,2562914.777777778,1.0596065123896254E7,4.501934E7,12.0,4.6209161E7,3080610.733333333,1.1655782894854458E7,4.5212561E7,10.0,0,0,0,0,616,520,0.4101397335278979,0.3453808282340193,0.0,9912.0,1017.7222222222224,2085.01352665857,4347281.406349207,0,0,0,1,0,0,0,0,0.0,1046.8,185.3684210526316,2069.75,0,0,0,0,0,0,19,3522,16,33116,29200,35,6,32,1113126.0,0.0,1113126.0,1113126.0,4.501934E7,0.0,4.501934E7,4.501934E7,No Label
